,body
294445002,"Premarket losers 
$AMZN $SQ $OSTK $BIDU $NFLX  
 
Track today&#39;s losers. Live scans start 930am ET 
stockbeep.com/prelose-feb25"
294444831,$AMZN the market currently i just a lottery at this point.  these movements are insane and not healthy.
294444426,$AMZN nasdaq continued disaster
294443944,$AMZN btd again?
294443846,$AVAV $WKHS $AMZN $UAVS  vv
294442094,$AMZN Max pain went from 3280 to 3225 lol this stock sucks.
294440786,"Global Commercial Drone Market Expected to Exceed $8.5 Billion By 2027  $AMZN $UAVS $AVAV $WKHS 

https://newsfilter.io/a/52a9efb6eae0336c8b37e4c12efb95c5"
294440027,"See, there are smart Bears out there who Get it :o)

$AAPL $BABA $AMZN $PLTR"
294439852,$AMZN Bond Yields again (10yr TSY)
294439209,$AMZN how much work does XLF and IWM have to do here without the big tech.
294438419,$CCIV $PNTR $GOOG $AMZN https://www.globenewswire.com/news-release/2021/02/24/2181509/0/en/Gevo-and-HCS-Group-Sign-Strategic-Agreement-to-Produce-Renewable-Low-Carbon-Chemicals-and-Sustainable-Aviation-Fuel-in-Europe.html
294437132,$AMZN Why why whyyyy????
294437083,$AMZN Can&#39;t say I&#39;m surprised. It shot up oddly strong yesterday. I rode the dip to 3170 and then started to short...my 3160 puts were red but I DCA around 3190s...should be nicely green if we hold 3160s. We&#39;ll see how it opens.
294436983,Amazon Donates $15 Million to Code.org to Create New Equity-Minded Advanced Placement Computer Science Curriculum to Help High School Students in Underserved Communities Excel in Tech http://www.conferencecalltranscripts.org/summary/?id=160888&amp;pr=true $AMZN
294436863,$AMZN NEW ARTICLE : Amazon Donates $15 Million to Code.org to Create New Equity-Minded Advanced Placement Computer Science Curriculum to Help High School Students in Underserved Communities Excel in Tech https://www.stck.pro/news/AMZN/11220632
294436741,"$AMZN [15s. delayed]: Issued Press Release on February 24, 09:00:00: Amazon Donates $15 Million to Code.org to Create New Equity-Minded Ad https://s.flashalert.me/Iv3Xe"
294436730,"$AMZN like i said, ppl got sucked in ydy at so called “bottom is in” fu MMs🖕🖕🖕🖕🖕"
294436039,$AMZN why didn&#39;t I buy puts at close yesterday?
294435964,$AMZN hilarious fuckin pig🖕🖕🖕🖕🖕🖕🖕
294435888,$AMZN markets is looking week. Guess the rising interest rates are really a threat to stocks.
294435608,$AMZN fuck you amazon I still have until april on my option drop it more so I can get the 3150 Jan 2022 at a better
294433057,"$AMZN 📰 Amazon Donates $15 Million to Code.org to Create New Equity-Minded Advanced Placement Computer Science Curriculum to Help High School Students in Underserved Communities Excel in Tech

https://quantisnow.com/insight/427393?s=s

#consumerservices"
294433021,"$AMZN Amazon Donates $15 Million to Code.org to Create New Equity-Minded Advanced Placement Computer Science Curriculum to Help High School Students in Underserved Communities Excel in Tech 

https://newsfilter.io/a/a7616668a405c60b0445df76b0d80be7"
294432930,"@Alstockit  pre-market is thinly traded volatile bullshit, but those who wish to play games know that.  They know they can move names big on much smaller volume, so they do it to “paint the tape” (make the price action look really good, or really bad) in the hopes that it will establish a trend and make everyone follow suit.  $AMZN"
294432579,$AMZN fucking seriously?
294432565,$AMZN Its so bad you just have to laugh at this point. I actually thought I would make money today. Ha ha ha
294431923,"$AMZN Amazon Donates $15 Million to Code.org to Create New Equity-Minded Advanced Placement Computer Science Curriculum to Help High School Students in Underserved Communities Excel in Tech
https://www.stocktitan.net/news/AMZN/amazon-donates-15-million-to-code-org-to-create-new-equity-minded-k3apqe5sqp9e.html"
294431748,$AMZN $AAPL $SPY 10Y killing momentum
294431685,"$AMZN ouch, wanted to sell at open so... figures 😔"
294431047,$AMZN wtf again? 🦦
294429956,"$AMZN seems like gop target on big tech again, so fear is back, and it&#39;s all red now."
294429865,$AMZN mm said oh shit we cant let this go up lets drop it it fucking over weekly options
294429844,$AMZN why down so much? Geez
299389451,$ZOOM
299197638,"$CIIC $TSLA $AAPL $THBR $ZOOM 

Yeah yeah.. now we all miss the Prior President!!!
One Tweet and we would have rebounded!"
298995605,"$SPY

 $TSLA, $ZOOM &amp; $SHOP are effed"
298972339,$TSLA sleepy joe crying about masks again😂 Why did you idiots vote for him he can barely speak a sentence w out mumbling  $ZOOM $AMZN $GME $AMC
298808984,$ZOOM too rich look at emerging drone industry.  $RCAT going to NASDAQ soon.. watch them and learn.  They are collecting flight data.  Headset etc.  Check out the photo from my personal drone. Click 💕✔️
298807954,$ZOOM high P/E..too rich for me..it&#39;s a no vote
298615204,"$ZOOM  
by the way whatever Cathy buying I sell and short it, and whatever she sell I buy..I Ben made great money doing this.."
298546663,$ARKK does Cathy have a TA guru in her team?? Somehow $PLTR $ZOOM daily charts looks like a disaster is about to happen lol. Submit your resume to ARK. I am sure we can help her better 😆
298543052,$ZOOM Cathie was very happy that she was able to catch this falling knife yesterday lol!
298194199,"$KAKZF $ZOOM $AONE $JD $PYPL

ARK TRADES 2nd March 🚀

Follow me on Instagram: arkinvesttracker 🙏"
298100334,$ZOOM up because of ZM. Mistaken buys.
298068915,$TGT what the hell happened here and with $ZOOM
297804529,$ZOOM They played yall here. Happiness was temporary god damn 😭. Rip to those who held calls
297374600,$ZM has blown out earnings... have folks learnt their lessons or we’re going to see another spike in $ZOOM because they they think they’re buying the former 😂😂😂😂
297345706,"$ZOOM most overvalued piece of shit on the market, everyone shits on spac valuations and this is absolutely hilarious, makes zero sense.. oh wait a lot of big hedges own it? Oh now it makes sense yea slap a 600 dollar price target, p/e currently at 260, fuckin joke"
297240764,Looking at #earnings in $NIO $ZOOM on #TheOptionBlock via https://mixlr.com/options-insider/
297119136,"What do you guys think of the $ZOOM  earnings? They freed up 1.5b in cash last earnings call and if they make an announcement of a security acquisition, I can see a major dip here."
297047690,Zoom fatigue is real ! 🤯 $ZOOM
296786777,$ZOOM Everyone should go check out Strikeforce Technologies $SFOR
296047885,$SANP look at this real micros guys that is down today! $ZOOM
295750141,"$VERB 20$ mid year, 50-100$ EOY
This will with explode, such a gem.
Do some DD, it&#39;s incredible.
$ZOOM $SHOP $APPS $FUBO"
295292615,$SWRM could be the next $ZOOM Hop im while it&#39;s still undervalue. We&#39;re breaking the resistance!
